month,day,hour,description,lamax,laeq
12,16,9,MP 07: Naamsestraat 81,58.05766666666667,56.69133333333333
12,16,9,MP08bis - Vrijthof,45.46055555555556,43.78358333333333
12,16,10,MP 01: Naamsestraat 35  Maxim,59.68086111111111,58.24433333333334
12,16,10,MP 02: Naamsestraat 57 Xior,58.66144444444445,57.255722222222225
12,16,10,MP 03: Naamsestraat 62 Taste,61.22430516165627,59.87640385706183
12,16,10,MP 04: His & Hears,61.010472222222226,59.73786111111111
12,16,10,MP 05: Calvariekapel KU Leuven,57.92552777777777,56.25694444444444
12,16,10,MP 06: Parkstraat 2 La Filosovia,58.880199944459875,57.46817550680366
12,16,10,MP 07: Naamsestraat 81,57.859,56.45241666666667
12,16,10,MP08bis - Vrijthof,45.620333333333335,44.46494444444444
12,16,11,MP 01: Naamsestraat 35  Maxim,56.29008333333333,54.29855555555555
12,16,11,MP 02: Naamsestraat 57 Xior,55.875888888888895,54.24741666666667
12,16,11,MP 03: Naamsestraat 62 Taste,58.314305555555556,56.74272222222222
12,16,11,MP 04: His & Hears,59.47025,58.136861111111116
12,16,11,MP 05: Calvariekapel KU Leuven,58.2765,56.62108333333333
12,16,11,MP 06: Parkstraat 2 La Filosovia,58.33227777777778,56.911722222222224
12,16,11,MP 07: Naamsestraat 81,58.97677777777778,57.33883333333333
12,16,11,MP08bis - Vrijthof,44.30502777777778,42.82008333333333
12,16,12,MP 01: Naamsestraat 35  Maxim,56.64272222222222,54.696777777777775
12,16,12,MP 02: Naamsestraat 57 Xior,57.413583333333335,55.44686111111111
12,16,12,MP 03: Naamsestraat 62 Taste,58.38575,56.68977777777778
12,16,12,MP 04: His & Hears,59.94799999999999,58.408027777777775
12,16,12,MP 05: Calvariekapel KU Leuven,58.76752777777778,56.94577777777778
12,16,12,MP 06: Parkstraat 2 La Filosovia,58.371861111111116,56.73730555555555
12,16,12,MP 07: Naamsestraat 81,58.04141666666667,56.50066666666667
12,16,12,MP08bis - Vrijthof,47.72016666666667,46.12877777777778
12,16,13,MP 01: Naamsestraat 35  Maxim,57.24944444444444,55.33497222222222
12,16,13,MP 02: Naamsestraat 57 Xior,57.149027777777775,55.31916666666667
12,16,13,MP 03: Naamsestraat 62 Taste,58.22558333333333,56.512027777777774
12,16,13,MP 04: His & Hears,59.681111111111115,58.01947222222223
12,16,13,MP 05: Calvariekapel KU Leuven,58.261138888888894,56.293111111111116
12,16,13,MP 06: Parkstraat 2 La Filosovia,57.70641844956932,56.015865518199504
12,16,13,MP 07: Naamsestraat 81,56.50897222222222,54.909444444444446
12,16,13,MP08bis - Vrijthof,46.66441666666667,45.07566666666666
12,16,14,MP 01: Naamsestraat 35  Maxim,57.293083333333335,55.36036111111111
12,16,14,MP 02: Naamsestraat 57 Xior,56.63863888888889,54.84105555555555
12,16,14,MP 03: Naamsestraat 62 Taste,57.65105555555555,56.05625
12,16,14,MP 04: His & Hears,59.03619444444444,57.484111111111105
12,16,14,MP 05: Calvariekapel KU Leuven,58.36686111111111,56.34388888888889
12,16,14,MP 06: Parkstraat 2 La Filosovia,57.264361111111114,55.60572222222223
12,16,14,MP 07: Naamsestraat 81,56.25077199281867,54.62434470377019
12,16,14,MP08bis - Vrijthof,46.61669444444445,44.80491666666667
12,16,15,MP 01: Naamsestraat 35  Maxim,55.47704248366013,53.623039215686276
12,16,15,MP 02: Naamsestraat 57 Xior,54.28520710059172,52.18639053254438
12,16,15,MP 03: Naamsestraat 62 Taste,57.56758333333333,55.864583333333336
12,16,15,MP 04: His & Hears,59.79913888888889,58.05852777777778
12,16,15,MP 05: Calvariekapel KU Leuven,57.96116666666667,55.967083333333335
12,16,15,MP 06: Parkstraat 2 La Filosovia,57.333083333333335,55.70622222222222
12,16,15,MP08bis - Vrijthof,44.5265,43.12347222222222
12,16,16,MP 01: Naamsestraat 35  Maxim,57.435859465737515,55.61591173054588
12,16,16,MP 02: Naamsestraat 57 Xior,57.12321532211259,55.40696459663378
12,16,16,MP 03: Naamsestraat 62 Taste,57.640055555555556,56.000888888888895
12,16,16,MP 04: His & Hears,59.25919444444445,57.725
12,16,16,MP 05: Calvariekapel KU Leuven,58.205777777777776,56.33541666666667
12,16,16,MP 06: Parkstraat 2 La Filosovia,57.93263888888889,56.27497222222222
12,16,16,MP 07: Naamsestraat 81,56.97220902612826,55.5103028503563
12,16,16,MP08bis - Vrijthof,45.14363888888889,43.92711111111111
12,16,17,MP 01: Naamsestraat 35  Maxim,57.064861111111114,55.103027777777775
12,16,17,MP 02: Naamsestraat 57 Xior,56.590386218393995,54.84392886913031
12,16,17,MP 03: Naamsestraat 62 Taste,57.810027777777776,56.1975
12,16,17,MP 04: His & Hears,59.610527777777776,58.03619444444444
12,16,17,MP 05: Calvariekapel KU Leuven,58.184194444444444,56.39272222222222
12,16,17,MP 06: Parkstraat 2 La Filosovia,57.805305555555556,56.25047222222223
12,16,17,MP 07: Naamsestraat 81,56.85691666666666,55.54936111111112
12,16,17,MP08bis - Vrijthof,44.42875,43.29725
12,16,18,MP 01: Naamsestraat 35  Maxim,57.89763888888889,56.137166666666666
12,16,18,MP 02: Naamsestraat 57 Xior,57.976305555555555,56.34633333333333
12,16,18,MP 03: Naamsestraat 62 Taste,59.54608333333333,57.72383333333333
12,16,18,MP 04: His & Hears,60.89333333333333,59.329055555555556
12,16,18,MP 05: Calvariekapel KU Leuven,59.54636111111111,57.70272222222222
12,16,18,MP 06: Parkstraat 2 La Filosovia,59.15758333333333,57.589277777777774
12,16,18,MP 07: Naamsestraat 81,58.42466666666667,57.006972222222224
12,16,18,MP08bis - Vrijthof,45.49966666666666,44.398916666666665
12,16,19,MP 01: Naamsestraat 35  Maxim,57.55905555555556,55.69094444444444
